0.7005	0.7870	0.5495	0.4617	0.7219	0.6608	0.6128	0.6801	1.0	0.0	0.0
0.7005	0.7870	0.5495	0.4617	0.7239	0.6141	0.6040	0.8708	0.0	0.0	1.0
0.7005	0.7870	0.5495	0.4617	0.8571	0.4159	0.6435	0.7509	0.0	1.0	0.0
0.7005	0.7870	0.5495	0.4617	0.6506	0.6815	0.7457	0.7611	0.0	0.0	1.0
0.7005	0.7870	0.5495	0.4617	0.6815	0.6607	0.5170	0.5568	0.0	1.0	0.0
0.7219	0.6608	0.6128	0.6801	0.7239	0.6141	0.6040	0.8708	0.0	1.0	0.0
0.7219	0.6608	0.6128	0.6801	0.8571	0.4159	0.6435	0.7509	0.0	0.0	1.0
0.7219	0.6608	0.6128	0.6801	0.6506	0.6815	0.7457	0.7611	0.0	1.0	0.0
0.7219	0.6608	0.6128	0.6801	0.6815	0.6607	0.5170	0.5568	1.0	0.0	0.0
0.7239	0.6141	0.6040	0.8708	0.8571	0.4159	0.6435	0.7509	0.0	0.0	1.0
0.7239	0.6141	0.6040	0.8708	0.6506	0.6815	0.7457	0.7611	1.0	0.0	0.0
0.7239	0.6141	0.6040	0.8708	0.6815	0.6607	0.5170	0.5568	1.0	0.0	0.0
0.8571	0.4159	0.6435	0.7509	0.6506	0.6815	0.7457	0.7611	0.0	1.0	0.0
0.8571	0.4159	0.6435	0.7509	0.6815	0.6607	0.5170	0.5568	1.0	0.0	0.0
0.6506	0.6815	0.7457	0.7611	0.6815	0.6607	0.5170	0.5568	0.0	0.0	1.0
